,ids,sents,string_ids,dates,buy?
1,C,"   Mortgage Market    Credit-default swaps tied to  Citigroup Inc. (C) , the biggest U.S. bank by assets, rose to the highest in a month in a sign of deteriorating investor confidence.",TICKER,2008-01-02,0
2,CMA,"They closed Dec. 31 at about 73 basis points, according to London-based CMA Datavision.",TICKER,2008-01-02,0
3,CMA,"MBIA contracts climbed 43 basis points to a record 657 basis points, CMA data show.",TICKER,2008-01-02,0
1,T,Strongest Quarters    Leap targets younger customers who lack the credit scores to qualify for service plans with larger carriers such as  AT&T Inc. (T)     ,TICKER,2008-01-08,0
1,MGM,"   Kerkorian's other holdings include a stake in Las Vegas casino operator  MGM Mirage (MGM) , which he founded in 1986.",TICKER,2008-01-14,0
2,MGM,"   Kerkorian's other holdings include a stake in Las Vegas casino operator  MGM Mirage (MGM) , which he founded in 1986.",TICKER,2008-01-14,0
1,JPM,"   Bank of America Corp.  and  JPMorgan Chase & Co. (JPM) , the biggest U.S. lenders by market value, rallied after Bear Stearns",TICKER,2008-01-23,1
1,IBM,"   IBM applied for Patent 7,321,306 in August 2005.",TICKER,2008-01-23,1
2,IP,   IP Talk    ,TICKER,2008-01-23,1
3,IP,"Australia is reviewing royalties paid and received by large companies and is taking a look at databases that register offshore transfer of IP rights, according to the Herald.",TICKER,2008-01-23,1
4,IP,"Australia is looking to Germany's policies relating to IP rights transfers, the Herald reported.",TICKER,2008-01-23,1
5,IP,"   IP Moves    Sherman & Sterling's Veenker New Women's Soccer General Counsel    Sherman & Sterling  IP partner  Vicki Veenker  has been named general counsel of the  Women's Professional Soccer  League, the firm announced in a  statement  Jan. 17.",TICKER,2008-01-23,1
6,IP,"   IP Moves    Sherman & Sterling's Veenker New Women's Soccer General Counsel    Sherman & Sterling  IP partner  Vicki Veenker  has been named general counsel of the  Women's Professional Soccer  League, the firm announced in a  statement  Jan. 17.",TICKER,2008-01-23,1
7,IP,"   Crowell & Moring Hires Seven IP Specialists from Buchanan Firm    Crowell & Moring  hired seven IP specialists away from Buchanan Ingersoll & Rooney, including the president-elect of the American Intellectual Property Law Association, the Washington-based firm announced in a statement yesterday.",TICKER,2008-01-23,1
8,IP,"   Crowell & Moring Hires Seven IP Specialists from Buchanan Firm    Crowell & Moring  hired seven IP specialists away from Buchanan Ingersoll & Rooney, including the president-elect of the American Intellectual Property Law Association, the Washington-based firm announced in a statement yesterday.",TICKER,2008-01-23,1
1,C,"   CDOs, which repackage assets such as mortgage bonds and buyout loans into new securities, have accounted for the biggest portion of the $133 billion in writedowns and credit losses in 2007 and 2008 at the world's biggest banks including  Citigroup Inc. (C)  and Merrill Lynch & Co.",TICKER,2008-01-24,0
1,UNH,"The largest providers of U.S.-sponsored Medicare Advantage plans are  UnitedHealth Group Inc. (UNH) , of Minnetonka,  Minnesota , and  Humana Inc. (HUM) , of Louisville,  Kentucky .",TICKER,2008-01-30,1
2,HUM,"The largest providers of U.S.-sponsored Medicare Advantage plans are  UnitedHealth Group Inc. (UNH) , of Minnetonka,  Minnesota , and  Humana Inc. (HUM) , of Louisville,  Kentucky .",TICKER,2008-01-30,0
